tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS017,2001-02-19,R32,Katarina Srebotnik,Sandra Kloesel,SLO,GER,,,6-2,6-7(6),6-3,,190636,110325,W-T3-COL-01A-2001,2001,Katarina Srebotnik,Sandra Kloesel,SLO,GER,,,,Katarina Srebotnik,Sandra Kloesel,3,"6-2,6-7(6),6-3",,2001-02-19,,Bogota,,,,,190636,,110325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS018,2001-02-19,R32,Eva Martincova,Carmina Giraldo,CZE,COL,,,7-6(3),6-0,,,130313,,W-T3-COL-01A-2001,2001,Eva Martincova,Carmina Giraldo,CZE,COL,,,Q,Eva Martincova,Carmina Giraldo,2,"7-6(3),6-0",,2001-02-19,,Bogota,,,,,130313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS019,2001-02-19,R32,Maria Sanchez Lorenzo,Marta Marrero,ESP,ESP,,5.0,7-6(3),6-1,,,190435,130616,W-T3-COL-01A-2001,2001,Maria Sanchez Lorenzo,Marta Marrero,ESP,ESP,,5.0,,Maria Sanchez Lorenzo,Marta Marrero,2,"7-6(3),6-1",,2001-02-19,,Bogota,,,,,190435,,130616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS023,2001-02-19,R32,Angeles Montolio,Lourdes Dominguez Lino,ESP,ESP,3.0,,6-2,6-3,,,130324,40300,W-T3-COL-01A-2001,2001,Angeles Montolio,Lourdes Dominguez Lino,ESP,ESP,3.0,,,Angeles Montolio,Lourdes Dominguez Lino,2,"6-2,6-3",,2001-02-19,,Bogota,,,,,130324,,40300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS022,2001-02-19,R32,Maria Jose Martinez Sanchez,Maria Emilia Salerni,ESP,ARG,,,4-6,6-4,7-5,,130591,190855,W-T3-COL-01A-2001,2001,Maria Jose Martinez Sanchez,Maria Emilia Salerni,ESP,ARG,,,,Maria Jose Martinez Sanchez,Maria Emilia Salerni,3,"4-6,6-4,7-5",,2001-02-19,,Bogota,,,,,130591,,190855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS021,2001-02-19,R32,Patricia Wartusch,Janette Husarova,AUT,SVK,,,6-3,7-5,,,230204,80219,W-T3-COL-01A-2001,2001,Patricia Wartusch,Janette Husarova,AUT,SVK,,,,Patricia Wartusch,Janette Husarova,2,"6-3,7-5",,2001-02-19,,Bogota,,,,,230204,,80219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS020,2001-02-19,R32,Mariana Diaz Oliva,Sylvia Plischke,ARG,AUT,,7.0,4-6,6-4,6-4,,40198,160235,W-T3-COL-01A-2001,2001,Mariana Diaz Oliva,Sylvia Plischke,ARG,AUT,,7.0,,Mariana Diaz Oliva,Sylvia Plischke,3,"4-6,6-4,6-4",,2001-02-19,,Bogota,,,,,40198,,160235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS030,2001-02-19,R32,Katalin Marosi,Anabel Medina Garrigues,HUN,ESP,,8.0,7-6(5),6-3,,,130497,130611,W-T3-COL-01A-2001,2001,Katalin Marosi,Anabel Medina Garrigues,HUN,ESP,,8.0,,Katalin Marosi,Anabel Medina Garrigues,2,"7-6(5),6-3",,2001-02-19,,Bogota,,,,,130497,,130611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS031,2001-02-19,R32,Elena Pampoulova,Mariam Ramon Climent,BUL,ESP,,,0-6,6-4,6-3,,,180239,W-T3-COL-01A-2001,2001,Elena Pampoulova,Mariam Ramon Climent,BUL,ESP,,,,Elena Pampoulova,Mariam Ramon Climent,3,"0-6,6-4,6-3",,2001-02-19,,Bogota,,,,,,,180239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2001,2001,Bogota,T3,2001-02-19,,Clay,,,30,,,LS029,2001-02-19,R32,Clarisa Fernandez,Anca Barna,ARG,GER,,,2-6,6-1,6-1,,60285,20113,W-T3-COL-01A-2001,2001,Clarisa Fernandez,Anca Barna,ARG,GER,,,Q,Clarisa Fernandez,Anca Barna,3,"2-6,6-1,6-1",,2001-02-19,,Bogota,,,,,60285,,20113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
