tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS025,2008-05-19,R32,Liana Gabriela Ungur,Cagla Buyukakcay,ROU,TUR,,,6-2,4-6,7-6(2),,,312292,W-T3-TUR-01A-2008,2008,Liana Gabriela Ungur,Cagla Buyukakcay,ROU,TUR,,,Q,Liana Gabriela Ungur,Cagla Buyukakcay,3,"6-2,4-6,7-6(2)",,2008-05-19,,Istanbul,,,,,,,312292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS027,2008-05-19,R32,Vania King,Alla Kudryavtseva,USA,RUS,,,6-1,6-7(1),6-3,,311550,311362,W-T3-TUR-01A-2008,2008,Vania King,Alla Kudryavtseva,USA,RUS,,,,Vania King,Alla Kudryavtseva,3,"6-1,6-7(1),6-3",,2008-05-19,,Istanbul,,,,,311550,,311362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS026,2008-05-19,R32,Jill Craybas,Tzipi Obziler,USA,ISR,7.0,,6-2,3-6,6-4,,30294,,W-T3-TUR-01A-2008,2008,Jill Craybas,Tzipi Obziler,USA,ISR,7.0,,,Jill Craybas,Tzipi Obziler,3,"6-2,3-6,6-4",,2008-05-19,,Istanbul,,,,,30294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS030,2008-05-19,R32,Nadia Petrova,Lilia Osterloh,RUS,USA,3.0,,6-1,6-2,,,160379,150134,W-T3-TUR-01A-2008,2008,Nadia Petrova,Lilia Osterloh,RUS,USA,3.0,,,Nadia Petrova,Lilia Osterloh,2,"6-1,6-2",,2008-05-19,,Istanbul,,,,,160379,,150134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS031,2008-05-19,R32,Marta Domachowska,Marina Erakovic,POL,NZL,,,7-6(2),6-3,,,310338,312086,W-T3-TUR-01A-2008,2008,Marta Domachowska,Marina Erakovic,POL,NZL,,,,Marta Domachowska,Marina Erakovic,2,"7-6(2),6-3",,2008-05-19,,Istanbul,,,,,310338,,312086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS029,2008-05-19,R32,Aiko Nakamura,Akiko Morigami,JPN,JPN,,,3-6,7-6(6),4-1,,140219,130541,W-T3-TUR-01A-2008,2008,Aiko Nakamura,Akiko Morigami,JPN,JPN,,,,Aiko Nakamura,Akiko Morigami,3,"3-6,7-6(6),4-1",,2008-05-19,,Istanbul,,,,,140219,,130541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS028,2008-05-19,R32,Akgul Amanmuradova,Martina Muller,UZB,GER,6.0,,6-4,6-1,,,10362,130631,W-T3-TUR-01A-2008,2008,Akgul Amanmuradova,Martina Muller,UZB,GER,6.0,,,Akgul Amanmuradova,Martina Muller,2,"6-4,6-1",,2008-05-19,,Istanbul,,,,,10362,,130631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS020,2008-05-19,R32,Tsvetana Pironkova,Polona Hercog,BUL,SLO,8.0,,6-4,7-5,,,311041,313968,W-T3-TUR-01A-2008,2008,Tsvetana Pironkova,Polona Hercog,BUL,SLO,8.0,,,Tsvetana Pironkova,Polona Hercog,2,"6-4,7-5",,2008-05-19,,Istanbul,,,,,311041,,313968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS021,2008-05-19,R32,Veronika Chvojkova,Pemra Ozgen,CZE,TUR,,,7-5,6-4,,,310660,310047,W-T3-TUR-01A-2008,2008,Veronika Chvojkova,Pemra Ozgen,CZE,TUR,,,Q,Veronika Chvojkova,Pemra Ozgen,2,"7-5,6-4",,2008-05-19,,Istanbul,,,,,310660,,310047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-TUR-01A-2008,2008,Istanbul,T3,2008-05-19,,Clay,,,30,,,LS023,2008-05-19,R32,Nathalie Vierin,Anastasia Rodionova,ITA,AUS,,,3-6,6-3,6-1,,220240,180356,W-T3-TUR-01A-2008,2008,Nathalie Vierin,Anastasia Rodionova,ITA,AUS,,,,Nathalie Vierin,Anastasia Rodionova,3,"3-6,6-3,6-1",,2008-05-19,,Istanbul,,,,,220240,,180356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
